# volkit spot / forward feed.  asof: 2026-08-23
# pair,tenor,value    tenor SPOT = spot rate, otherwise forward points for that pillar
USDJPY,SPOT,150.25
USDJPY,1W,-2.6
USDJPY,2W,-5.3
USDJPY,1M,-11.4
USDJPY,2M,-23.1
USDJPY,3M,-35.0
USDJPY,6M,-71.5
USDJPY,9M,-108.0
USDJPY,1Y,-146.0
EURUSD,SPOT,1.0842
EURUSD,1W,1.3
EURUSD,2W,2.7
EURUSD,1M,5.8
EURUSD,2M,11.9
EURUSD,3M,18.2
EURUSD,6M,37.5
EURUSD,9M,56.0
EURUSD,1Y,75.0
AUDUSD,SPOT,0.6612
AUDUSD,1M,-1.9
AUDUSD,3M,-5.8
AUDUSD,6M,-11.9
AUDUSD,1Y,-24.5
GBPUSD,SPOT,1.2734
GBPUSD,1M,2.1
GBPUSD,3M,6.4
GBPUSD,6M,13.0
GBPUSD,1Y,26.5
USDCNH,SPOT,7.1450
USDCNH,1M,-42.0
USDCNH,3M,-128.0
USDCNH,6M,-255.0
USDCNH,1Y,-505.0
